wiper,muxInd,potInd
122,0,0
121,0,1
116,0,2
115,0,3
114,0,4
113,0,5
112,0,6
111,0,7
123,0,8
124,0,9
125,0,10
126,0,11
131,0,12
132,0,13
133,0,14
134,0,15
146,1,0
145,1,1
144,1,2
143,1,3
142,1,4
141,1,5
136,1,6
135,1,7
151,1,8
152,1,9
153,1,10
154,1,11
155,1,12
156,1,13
161,1,14
162,1,15
214,2,0
213,2,1
212,2,2
211,2,3
166,2,4
165,2,5
164,2,6
163,2,7
215,2,8
216,2,9
221,2,10
222,2,11
223,2,12
224,2,13
225,2,14
226,2,15
242,3,0
241,3,1
236,3,2
235,3,3
234,3,4
233,3,5
232,3,6
231,3,7
243,3,8
244,3,9
245,3,10
246,3,11
251,3,12
252,3,13
253,3,14
254,3,15
266,4,0
265,4,1
264,4,2
263,4,3
262,4,4
261,4,5
256,4,6
255,4,7
311,4,8
312,4,9
313,4,10
314,4,11
315,4,12
316,4,13
321,4,14
322,4,15
334,5,0
333,5,1
332,5,2
331,5,3
326,5,4
325,5,5
324,5,6
323,5,7
335,5,8
336,5,9
341,5,10
342,5,11
343,5,12
344,5,13
345,5,14
346,5,15
362,6,0
361,6,1
356,6,2
355,6,3
354,6,4
353,6,5
352,6,6
351,6,7
363,6,8
364,6,9
365,6,10
366,6,11
411,6,12
412,6,13
413,6,14
414,6,15
426,7,0
425,7,1
424,7,2
423,7,3
422,7,4
421,7,5
416,7,6
415,7,7
431,7,8
432,7,9
433,7,10
434,7,11
435,7,12
436,7,13
441,7,14
442,7,15
454,8,0
453,8,1
452,8,2
451,8,3
446,8,4
445,8,5
444,8,6
443,8,7
455,8,8
456,8,9
461,8,10
462,8,11
463,8,12
464,8,13
465,8,14
466,8,15
522,9,0
521,9,1
516,9,2
515,9,3
514,9,4
513,9,5
512,9,6
511,9,7
523,9,8
524,9,9
525,9,10
526,9,11
117,9,12
118,9,13
119,9,14
1110,9,15
1111,10,0
1112,10,1
127,10,2
128,10,3
129,10,4
1210,10,5
1211,10,6
1212,10,7
137,10,8
138,10,9
139,10,10
1310,10,11
1311,10,12
1312,10,13
147,10,14
148,10,15
149,11,0
1410,11,1
1411,11,2
1412,11,3
157,11,4
158,11,5
159,11,6
1510,11,7
1511,11,8
1512,11,9
167,11,10
168,11,11
169,11,12
1610,11,13
1611,11,14
1612,11,15
